QUERY,FREQ,is_question,question_type
teacher appreciation quotes,978,1,unknown
how to build a shower pan,812,1,unknown
where is mica found,817,1,unknown
what causes cheese to mold,289,1,what
how to write a quotation letter,345,1,unknown
what is carpe diem,563,1,what
how to write a formal invitation,251,1,unknown
cfe consulta tu recibo,1169,1,unknown
how did anne frank get caught,628,1,unknown
how to remove chatzum,261,1,unknown
what is the purpose of respiration,295,1,what
what is quebec famous for,395,1,what
what are polyps in the uterus,2191,1,what
musicas e clipes,681,1,unknown
what is graviola,650,1,what
terrenos na zona leste,880,1,unknown
oneida sterling silver,333,1,unknown
what is 3g network,382,1,what
midland tx obituaries,396,1,unknown
easter activities for children,335,1,what
casa e vidio,290,1,unknown
tim horton,613,1,unknown
which camera is the best,339,1,unknown
what is fat tuesday,650,1,what
how did kunta kinte die,801,1,unknown
sbcglobal sign in page,623,1,unknown
casas e sobrados modelos,464,1,unknown
macys printable coupons,6271,1,unknown
what is a theme,1269,1,what
how old is adam levine,996,1,unknown
how do bones repair themselves,617,1,unknown
hello in italian,248,1,unknown
what does prognosis mean,307,1,what
how to make grape syrup html,288,1,unknown
why are rivers important to people,248,1,unknown
what is 20 30 vision,1619,1,what
what is carpet made of,651,1,what
how to detox your body,577,1,unknown
how to cook stuffed mushrooms html,288,1,unknown
what is a plane figure,376,1,what
what is immune system,413,1,what
how to make cheese bread html,1038,1,unknown
rasmussen college,304,1,what
ohio minimum wage,281,1,unknown
how to calculate probability,770,1,unknown
sky fm,921,1,unknown
ladies gruen watches,358,1,unknown
flower stencils,827,1,unknown
how much is rv storage,613,1,unknown
how to cancel membership,923,1,unknown
how to stop a runny nose,662,1,unknown
diabetes what to eat,13096,1,what
what is the density of plywood,251,1,what
how tall is jennifer aniston,311,1,unknown
what is a sugar gliders,312,1,what
what is marketing,1630,1,what
countries in south africa,290,1,what
what is a reciprocal in math,313,1,what
what is babylon search,914,1,what
what is neuropathy of the feet,635,1,what
what is holy basil,350,1,what
what does epidemic mean,286,1,what
what causes stomach ulcers,2578,1,what
nova sw4 2014,799,1,unknown
biofreeze where to buy,384,1,unknown
wining number cash5,304,1,unknown
serie tv,320,1,what
what causes amyloidosis,257,1,what
what is colorectal screening,308,1,what
where to buy moonshine,642,1,unknown
what religion is katrina kaif,2000,1,what
what does the sec do,1173,1,what
what is mercedes benz target market,552,1,what
how many neutrons does magnesium have,546,1,unknown
what is a horses habitat,2088,1,what
how to open,1496,1,unknown
who is zendaya coleman,612,1,who
what is brazil famous for,457,1,what
how to make cinnamon buns,408,1,unknown
what are jeri ryan s measurements,450,1,what
what does selectively permeable mean,367,1,what
how long do you boil artichokes,297,1,unknown
what is a lyme disease,1741,1,what
how make cha lua,278,1,unknown
how to download free music?,469,1,unknown
nestle printable coupons,1415,1,unknown
what size generator,1195,1,what
how much does an ipad cost,876,1,unknown
how to apply for medical,413,1,unknown
price of mercury,382,1,what
what chemicals are in fertilizer,364,1,what
old cowboy pictures,451,1,what
gain weight for skinny girls,2664,1,what
how to make liquid starch,477,1,unknown
how does the spinning jenny work,671,1,unknown
how to enter cheat codes,729,1,unknown
what is ecoli,444,1,what
how to write a cheque,253,1,unknown
what is bbbj,323,1,what
spanish cake recipes,418,1,unknown
how to make pesto sauce shtml,776,1,unknown
how to write excuse absent letter,4946,1,unknown
what are symptoms of uti,695,1,what
famous logos trademarks,283,1,unknown
who is the president of mexico,292,1,who
help me solve a cryptic clue,278,1,what
free webcam broadcast chat,961,1,unknown
how much did abraham lincoln weigh,654,1,unknown
silver certificate appraisals,384,1,unknown
supercuts printable coupons,13689,1,unknown
where to buy itching powder,305,1,unknown
who discovered the element iron,722,1,who
what is maca powder benefits,2549,1,what
tatimet e mia,742,1,unknown
marilyn hickey prayer request,695,1,unknown
how to boil shrimp,643,1,unknown
where did gandhi die,455,1,unknown
amazons phone number,1262,1,unknown
hotels in downtown gatlinburg tn,283,1,unknown
mercedes sprinter usados,274,1,unknown
how test an ignition coil shtml,777,1,unknown
what is an allusion,498,1,what
how to install stereo,275,1,unknown
how much does the moon weigh,251,1,unknown
wileyplus access code,274,1,unknown
what causes petechiae,527,1,what
sleeping with sirens,673,1,what
what is pdf format,733,1,what
what does mercantilism mean,673,1,what
how to plant amaryllis,251,1,unknown
what is information technology,707,1,what
dtw parking coupons,265,1,unknown
how to clean laminate flooring,868,1,unknown
who is dr  chauncey crandall,322,1,who
what is stress,1782,1,what
what is the femur bone,436,1,what
what isf bond,333,1,what
tv en vivo futbol,4456,1,what
non alcoholic italian beverage recipes html,1925,1,unknown
what is monotheism,368,1,what
polsky tv,528,1,what
what is chronological order,11789,1,what
what is the capital of illinois,330,1,what
what is my astrology sign,262,1,what
what is the cure for diabetes,651,1,what
what does kappa mean,1253,1,what
how to tan quick outside,399,1,unknown
who discovered the golden ratio,441,1,who
up to the minute sports scores,587,1,unknown
why is corporate governance important,440,1,unknown
wic texas,297,1,what
what does ego mean,1415,1,what
picture spider bite,2674,1,unknown
how to gain weight for women,767,1,unknown
what does the spinal cord do,404,1,what
kohls locations in nj,289,1,unknown
what does the name lauren mean,266,1,what
how many people attend,863,1,unknown
what is a colon infection,459,1,what
how grow thyme,379,1,unknown
what to do this weekend,801,1,affirmation
what is protonix used for,397,1,what
red coquimbo tvn,301,1,unknown
ear canal,315,1,what
who invented the traffic light,839,1,who
where is magnesium found,331,1,unknown
toronto zoo coupons,1597,1,unknown
guitar,2617,1,unknown
what causes floaters in the eye,562,1,what
midwest states map,504,1,unknown
where is the amazon rainforest located,2500,1,unknown
charlie wilson videos,336,1,unknown
red boxes movies,1847,1,unknown
which is better,2343,1,unknown
what does fob stand for,310,1,what
what is appearance,321,1,what
how does a spring work,474,1,unknown
how yards in a mile,549,1,unknown
who is ron howard,496,1,who
career finder quiz,444,1,unknown
what is a rastafarian,397,1,what
what is mycelium,247,1,what
women designer church suits,516,1,unknown
is washington dc a state,648,1,unknown
what is a blue diamond,253,1,what
how to rid cockroaches,279,1,unknown
how to wire a subwoofer,275,1,unknown
what causes foot corns,329,1,what
star tattoo ideas,362,1,what
how do we get electricity,363,1,unknown
how to wire a trailer,486,1,unknown
where is yosemite national park located,830,1,unknown
what is a non newtonian fluid,976,1,what
what do cherries symbolize,255,1,what
what is determination,437,1,what
how to calculate tidal volume,286,1,unknown
clean short jokes,2508,1,unknown
how long do pimples last,372,1,unknown
how to read wiring diagrams,1522,1,unknown
how big do beagles get,296,1,unknown
who invented the magnifying glass,374,1,who
how to convert grams to ounces,1126,1,unknown
here comes the bride song,269,1,what
cvs printable coupons,337,1,unknown
we buy any car,281,1,unknown
what countries practice christianity,571,1,what
how to grow apple trees,445,1,unknown
space saver toaster oven,454,1,unknown
what is garam marsala,494,1,what
how to increase credit score,330,1,unknown
how do droughts form,346,1,unknown
how to read tire dates,392,1,unknown
what do muskrats eat,736,1,what
how to make fabric colorfast,784,1,unknown
what is the mediterranean diet shtml,298,1,what
how many satellites does venus have,456,1,unknown
what is lysine used for,275,1,what
sign of bipolar disorder,566,1,what
what does a gnat look like,404,1,what
ford truck f 150 html,248,1,unknown
what did the cherokee indians eat,372,1,what
jekyll island vacation rentals,563,1,unknown
what time is it in,269,1,when
sunday brunch menu,1107,1,unknown
texas facts for kids,582,1,what
what is the environment,511,1,what
audie murphy married,259,1,what
how to grow rhododendron,1415,1,unknown
what does the hymen look like,725,1,what
how much do prosthetic fingers cost,341,1,unknown
what is international trade,357,1,what
locating a previous address,297,1,what
victor e leo musicas para ouvir,420,1,unknown
how to write a contract agreement,696,1,unknown
how to build a cupola,668,1,unknown
who framed roger rabbit,305,1,who
who is kelly tilghman,567,1,who
how to make space cakes html,1478,1,unknown
download old songs,674,1,what
what is whipworm in dogs,355,1,what
why do people talk to themselves,528,1,unknown
what is chondromalacia,539,1,what
what is the poverty level,268,1,what
wonderland ticket price,422,1,what
what is a domestic profit corporation,448,1,what
na meeting schedule,2665,1,unknown
what does an echocardiogram show?,248,1,what
who invented the tampon,469,1,who
how to type an eviction notice,402,1,unknown
meineke discount coupons,260,1,unknown
where does nuclear power come from,570,1,unknown
city for area code 314,257,1,what
why do stitches itch,277,1,unknown
how tall is a leprechaun,426,1,unknown
what is proportion in art,733,1,what
greyhound australia,441,1,unknown
what are the five animal kingdoms,294,1,what
what level does nidoran evolve,363,1,what
how to kill tree roots,713,1,unknown
shortys coupons,284,1,unknown
how to name a business,380,1,unknown
how to cook grits,388,1,unknown
what is the viscosity of water,285,1,what
what causes thrush mouth,732,1,what
say move,1253,1,unknown
honda trike conversion kits,674,1,unknown
sprint tv,885,1,what
how to make gnocchi,303,1,unknown
how to bake fish,573,1,unknown
what does bistro mean,802,1,what
how to make chicken enchiladas html,761,1,unknown
where is newfoundland located,252,1,unknown
what is soil,625,1,what
what is a private sector organisation,264,1,what
who is tatyana ali s father,378,1,who
silverplate flatware worth anything,1620,1,what
where find boulders sale,535,1,unknown
gatlinburg aquarium coupons,302,1,unknown
where is the gallbladder,312,1,unknown
what does distinguish mean,325,1,what
what causes tinnitus,1474,1,what
jogos na lua,278,1,unknown
how to draw house plans,1709,1,unknown
how to write a solicitation letter,1270,1,unknown
what is the average human iq,476,1,what
flower garden design,643,1,unknown
baker cyst picture,6024,1,unknown
how to wire a transformer,526,1,unknown
tv patrol laoag,255,1,what
what is methandienone,491,1,what
what plants grow in acidic soil,258,1,what
what causes enlarged lymph nodes,485,1,what
big cola,275,1,unknown
pictures of castles,844,1,what
how to do magic tricks,798,1,unknown
how old is vin diesel,365,1,unknown
sam s club in maryland,310,1,what
what are ferrous metals,298,1,what
e mail messages,340,1,unknown
what does magnesium smell like,289,1,what
attractions in galveston texas,523,1,what
how to freeze lemons,260,1,unknown
ford truck f 450 html,495,1,unknown
musica e letra,1750,1,unknown
what is the gall bladder,378,1,what
tim viec lam nail,415,1,unknown
what is an agnostic,444,1,what
amberen coupons,1031,1,unknown
how to build a horse shelter,344,1,unknown
what do my name mean,335,1,what
homemade spanish rice,446,1,unknown
how long is a check valid,646,1,unknown
tv gratis na net,707,1,what
what are the 7 continents,11429,1,what
why is reading important,750,1,unknown
pickup truck rental companies,847,1,unknown
where is czechoslovakia located,480,1,unknown
what is bookkeeping,284,1,what
how to steam asparagus,351,1,unknown
what is troy ounce,1309,1,what
cd novo jorge e mateus,300,1,unknown
what does chlamydia look like,594,1,what
descargar root explorer gratis,598,1,what
what do african dwarf frogs eat,426,1,what
where did christopher columbus live,646,1,unknown
italian heather plant,557,1,what
locate a business license number,686,1,unknown
what is a surname,454,1,what
what do golgi bodies do,249,1,what
baseball on tv today,718,1,what
frog pictures to print,1341,1,unknown
pre diabetic menu,904,1,unknown
aplicativos e jogos java,327,1,unknown
dogs for adoption in ct,465,1,what
what is cellulites,2440,1,what
what is the rough endoplasmic reticulum,340,1,what
how to facetime,298,1,unknown
cliffs notes,627,1,unknown
where is area code 719,410,1,unknown
dia do indio 19 de abril,284,1,unknown
what does a mockingbird look like,689,1,what
what is autocad used for,259,1,what
why are giant pandas endangered,445,1,unknown
what is kirsch,322,1,what
home depot com,4357,1,unknown
how to create a url,993,1,unknown
646 area code,388,1,unknown
what does the judicial branch do,1115,1,what
is nicki minaj married,916,1,what
what causes dark elbows,772,1,what
what is a centipede,520,1,what
what states allow studded snow tires,465,1,what
what is social darwinism,698,1,what
hitachi tv manuals,255,1,what
what color goes with burgundy,1187,1,what
states where pot is legal,304,1,unknown
how to check engine oil,433,1,unknown
how harmful is inhaling burnt plastic,1080,1,unknown
texas caviar recipe,768,1,what
how to stop coughing at night,412,1,unknown
what is business finance,318,1,what
how to clean hard drive,262,1,unknown
how host prohibition party,442,1,unknown
what is aerodynamics,324,1,what
phone number irs refund,2158,1,unknown
who invented smart goals,548,1,who
making words with letters,316,1,what
who discovered sound,251,1,who
santa claus number,523,1,unknown
galveston island map,289,1,unknown
how to clean pewter,687,1,unknown
who discovered easter island,381,1,who
what is nail fungus,1830,1,what
tv gratis para celular,6270,1,what
old mobile homes for sale,406,1,what
how to submit to askcom,350,1,unknown
what did rachel carson invent,251,1,what
what do barn owls eat,683,1,what
what is mechanical engineer,341,1,what
what is a sole proprietorship,384,1,what
famous brand logos,277,1,unknown
what are symptoms of a hernia,424,1,what
how to clean rust off metal,255,1,unknown
where is tahiti located,1387,1,unknown
italian decorations,399,1,unknown
horseshoe pit blueprints,585,1,unknown
ghetto nicknames,1267,1,unknown
how is ms diagnosed,391,1,unknown
panasonic tv calibration,469,1,what
what is ph,820,1,what
where is greenland located,249,1,unknown
chiari malformation type 1,892,1,what
vegetables high in calcium,562,1,unknown
what is theoretical perspective,1106,1,what
cookies from cake mix,329,1,what
linguagem formal e informal,727,1,unknown
what do slugs eat,1018,1,what
where is gallbladder,842,1,unknown
joao bosco e vinicius,1257,1,unknown
what animals live in wetlands,458,1,what
percentage conversion chart,619,1,what
clogged ear treatment,390,1,unknown
owners manual for electric scooter,749,1,unknown
what is agnostic beliefs,276,1,what
how long is implantation bleeding,468,1,unknown
how to make communion bread html,398,1,unknown
why is cloning bad,473,1,unknown
what is tyler perry contact info,490,1,what
what attracts pisces,542,1,what
names in italian,277,1,unknown
what is an earthquakes,358,1,what
what do lizards look like,364,1,what
what is gaba,261,1,what
what is a spastic colon,510,1,what
toshiba tv reviews,629,1,what
vampire diaries cast,312,1,unknown
who invented recycling,401,1,who
what is high tea,263,1,what
how to build a picnic pavilion,272,1,unknown
how old is the queen,470,1,unknown
citifinancial auto phone number,1083,1,unknown
what is 3rd base in relationships,298,1,what
how does a comet begin,274,1,unknown
cavalier king charles spaniels for adoption,1398,1,what
birthday alarm,271,1,unknown
how do wetlands form,375,1,unknown
festivals in may,296,1,unknown
what is kosher food,304,1,what
what does gabriel mean,526,1,what
what causes hypothyroidism,355,1,what
mi ranchito menu,296,1,unknown
what is a liter,294,1,what
how to repair transmission,823,1,unknown
valentine crafts for children,281,1,what
what year did nintendo come out,464,1,what
what is a subject pronoun,508,1,what
what to say to your crush,1016,1,what
why is management necessary?,286,1,unknown
baking soda to clean sterling silver,463,1,what
apn number search,327,1,unknown
what is an interval in math,703,1,what
what objects are cone shaped,508,1,what
where to buy dettol,363,1,unknown
how to repair touch screen,307,1,unknown
famous twins,330,1,unknown
spiders in michigan,645,1,what
nicoderm cq coupons,487,1,unknown
who is daniel boone,441,1,who
who lives here,1422,1,who
who is my boyfriend,298,1,who
what does bmo stand for,322,1,what
globo tv ao vivo gratis,1626,1,what
rj tv,1930,1,what
where s my refund?,623,1,unknown
how to cook sea cucumber html,263,1,unknown
the united states,1177,1,what
where is kiawah island,580,1,unknown
what is the capital of sweden,415,1,what
who are ikea competitors,1867,1,who
cheapest flatscreen tv,974,1,what
how to cook kielbasa,254,1,unknown
what channel is trutv,540,1,what
girl scout cookies 2013,336,1,what
jogos ao vivo na globo,460,1,unknown
veria tv recipes,1015,1,what
whdh tv,569,1,what
how do you store fresh garlic,473,1,unknown
lmc chevy truck parts,2802,1,unknown
who is leonardo dicaprio s wife,1670,1,who
how to set up,713,1,unknown
how to hang yourself successfully,783,1,unknown
natural soap making,300,1,what
what years were the 19th century,477,1,what
fuiste tu ricardo,332,1,unknown
what is mange,260,1,what
how to unblock websites,1635,1,unknown
what is an irregular verb,636,1,what
where do komodo dragons live,394,1,unknown
how to contact mark cuban,298,1,unknown
how to change an oil pump,1173,1,unknown
is green tea decaffeinated,287,1,unknown
what do hyenas eat,593,1,what
inner ear imbalance treatment,382,1,unknown
what is a penguins habitat,455,1,what
what is snap do,371,1,what
how to hack directv access cards,2744,1,unknown
startlap hu,22598,1,unknown
betty crocker coupons,400,1,what
price chopper,1234,1,what
grupo ta na mente mp3,372,1,unknown
how long to ship,528,1,unknown
hockey on tv today,356,1,what
tv satellite services,248,1,what
what do rodents eat,311,1,what
recipes with crushed pineapple,260,1,what
where do meerkats live,537,1,unknown
who united upper and lower egypt,380,1,who
what does the attorney general do,265,1,what
motor ap 1 8,303,1,unknown
pelvis picture,333,1,unknown
what is mitral valve regurgitation,427,1,what
filmon tv,305,1,what
lojas tim beta,335,1,unknown
legal petition forms,392,1,what
what causes rapid weight loss,268,1,what
what is anxiety disorders,248,1,what
how to remove moles,255,1,unknown
how many days does ovulation last,622,1,unknown
texas mile marker map,254,1,what
how many ounces is a shot,293,1,unknown
na estante pitty letra,471,1,unknown
what are signs and symptoms,631,1,what
how to dye carpet,1569,1,unknown
what is stock exchange,272,1,what
how to kill mold and mildew,1260,1,unknown
what is a geopolitical community,325,1,what
where is stein mart located,856,1,unknown
where do nuts come from,369,1,unknown
what is gout arthritis,520,1,what
carnival cruises ships,277,1,unknown
who invented steel,952,1,who
ellen degeneres tv show,1875,1,what
haitian tv,539,1,what
how to transplant sago palms,573,1,unknown
how much is scrap gold worth,317,1,unknown
silver daddy,254,1,unknown
what does an alternator do,1120,1,what
how much is my traffic ticket,253,1,unknown
picture of impetigo,940,1,what
does josh peck have a girlfriend,387,1,affirmation
what is caesar augustus famous for,262,1,what
download mega cubo tv,683,1,what
what is credit,423,1,what
foods eaten in england,271,1,what
how much money do chefs make,1817,1,unknown
singer old machines,407,1,unknown
who is miley cyrus boyfriend,337,1,who
what is charge syndrome,320,1,what
repuestos general electric,309,1,unknown
how much do coins weigh,723,1,unknown
what does biased mean,793,1,what
female pig names,283,1,what
male names,546,1,unknown
photos of plantar warts,728,1,what
how does a thermistor work,311,1,unknown
what is time management,530,1,when
what are liquid assets,347,1,what
why is helen keller famous,398,1,unknown
what sea surrounds jamaica,350,1,what
how common is a missed miscarriage,301,1,unknown
how to get rid of caterpillars,1239,1,unknown
why is flag at half mast,385,1,unknown
who makes pegasus faucets,589,1,who
woodsmith shop,468,1,unknown
how to a paper air plane,366,1,unknown
tube you com,22933,1,what
what does prevalence mean,619,1,what
what is the most poisonous spider,295,1,what
creamy italian salad dressing recipe html,259,1,unknown
jogos do carrossel 2,357,1,unknown
scotts coupons,995,1,unknown
what causes bells palsy,1204,1,what
who hosts afv,375,1,who
how to write a memorandum,1425,1,unknown
how to seal marble,284,1,unknown
who started the industrial revolution,288,1,who
how do rattlesnakes reproduce,304,1,unknown
bank of nova scotia jamaica,320,1,what
how to sign a memo shtml,1642,1,unknown
ustream tv futbol en vivo,251,1,what
what is phytoplankton,389,1,what
what is a tier 1 supplier,1869,1,what
bonefish restaurant menu,277,1,unknown
how many watts make an amp,255,1,unknown
what is the capital of iowa,308,1,what
what is the nebular theory,2869,1,what
what is the function of genes,295,1,what
how is hail formed,573,1,unknown
na meetings,1326,1,unknown
dirty text chat,752,1,unknown
what is the hydrosphere,252,1,what
cezar e paulinho,376,1,unknown
what is rectal cancer,1160,1,what
what do land snails eat,264,1,what
dental root canal procedure,479,1,what
rbc1 tv,269,1,what
guideposts phone number,1629,1,unknown
italian pizzelle recipes,480,1,unknown
how to install a turbo kit,453,1,unknown
how much is a ps2 worth,354,1,unknown
what is polyfax ointment used for,566,1,what
what is acute myeloid leukemia,302,1,what
what does a hernia feel like,2073,1,what
what is a stig,267,1,what
e mail address finder,1465,1,what
help me identify a bug,1047,1,what
what size is king mattress,1182,1,what
how to get bonded,1664,1,unknown
why are cougars endangered,301,1,unknown
who invented the ballpoint pen,266,1,who
how to make rice puffs html,292,1,unknown
who sang mack the knife,266,1,who
who makes the best juicer,1041,1,who
how to become pregnant fast,348,1,unknown
elvis presley coins,527,1,unknown
