QUERY,FREQ,is_question,question_type
what is cause and effect?,301,1,what
how to grow marijuana indoors,435,1,unknown
where are the hummingbirds,388,1,unknown
who is martina colombari,911,1,who
why are tariffs important,349,1,unknown
what on hbo tonight,295,1,what
hotmail inbox messages html,307,1,unknown
how to install insulation,680,1,unknown
patent number lookup,2457,1,unknown
what are symptoms of breast cancer,255,1,what
spanish names for girls,847,1,what
nelnet student loans,366,1,what
live tv lebanon mtv,423,1,what
hardwood installation guide step by step,402,1,what
where is angkor wat located,301,1,unknown
big hipermercado porto alegre,291,1,unknown
how tall is clint eastwood,306,1,unknown
bougainvillea how to grow,1339,1,unknown
what fruits are good for diabetics,2071,1,what
is paypal safe shtml,318,1,affirmation
what is emulsification,447,1,what
what causes ear mites in dogs,403,1,what
what do flea eggs look like,898,1,what
what is endocrinologist,2930,1,what
wageline victoria number,249,1,unknown
how to poison a cat?,706,1,unknown
hardees printable coupons,5051,1,unknown
how are minerals made,329,1,unknown
how to trim river birch trees,322,1,unknown
zee tv,5795,1,what
what are ethics,427,1,what
how to make taco soup html,286,1,unknown
how to cook flat iron steak,1409,1,unknown
who is annette funicello,1756,1,who
who invented lipstick shtml,631,1,who
subway printable coupons,4554,1,unknown
how to tune your ukulele,327,1,unknown
what area code is 010,398,1,what
dobbs coupons,438,1,unknown
red tud,262,1,unknown
what is security,269,1,what
how to change a headlight,455,1,unknown
what causes radon gas,303,1,what
what is a friend,423,1,what
vinyl outdoor storage sheds,1160,1,unknown
how to test a diamond,508,1,unknown
what are ios photos,289,1,what
what does deforestation mean,773,1,what
cheapest silver bars,415,1,what
how to check louis vuitton authenticity,473,1,unknown
what does hydroscopic mean,1095,1,what
why do ankles swell,406,1,unknown
who is elizabeth jean scott,2500,1,who
how to use craig list,264,1,unknown
work from home opportunities for nurses,641,1,affirmation
what does the name rebecca mean,417,1,what
what is the paleo diet,1021,1,what
what is propaganda,921,1,what
what are mammals,358,1,what
teaspoon conversion convert,808,1,unknown
tsn sports canada,667,1,what
symptoms of diabetes in women,26194,1,what
what does mitochondria do,388,1,what
table decorations for a retirement party,437,1,what
what is a heart healthy diet,579,1,what
how long does bacon last,254,1,unknown
what is the abbreviation for assistant,292,1,what
why do birds peck at windows,317,1,unknown
motel coupons,495,1,unknown
tv en vivo caracol,1775,1,what
pictures of wedding hairstyles,2386,1,what
what does professionalism mean,602,1,what
how do girls urinate,606,1,unknown
what is a dangerous inr level,429,1,what
how to make german potato salad,251,1,unknown
how to lower blood sugar levels,855,1,unknown
quilted northern coupons,622,1,unknown
what are the signs of arthritis,3130,1,what
where are magnets found,351,1,unknown
what eats a panda bear,326,1,what
the view tv show website,330,1,what
how many cm in a inch,372,1,unknown
petsmart printable coupons,1792,1,unknown
what is frankincense,435,1,what
what are the multiples of 100,279,1,what
verizon 1800 number,274,1,unknown
croche e trico receitas,887,1,unknown
who was born on this day,473,1,who
how to treat scorpion bites shtml,2444,1,unknown
what do wild birds eat,414,1,what
refill helium tanks,603,1,unknown
who won the revolutionary war,1708,1,who
what is paleo diet,433,1,what
how to cure adrenal fatigue,340,1,unknown
who invented magnets,602,1,who
empire theatres nova scotia,1486,1,what
what are ways to get pregnant,424,1,what
corel x4 serial number,5209,1,unknown
how to change a deed,431,1,unknown
what animal eats coyotes,630,1,what
what is the greater than sign,3681,1,what
souper salad coupons,1668,1,unknown
how to become a singer,775,1,unknown
what are the commonwealth states,1139,1,what
young girls,1215,1,unknown
lemon tree coupons,406,1,unknown
songs by the eagles,324,1,what
tv,12796,1,what
mecum auto auction kansas city,429,1,what
how make custom snapback hats,1303,1,unknown
pictures of chlamydia,746,1,what
1982 chevy truck for sale,330,1,what
what is tetanus,271,1,what
serie tv gratis,315,1,what
what is holy communion,641,1,what
how to apply for dream act,561,1,unknown
how long do snakes hibernate,260,1,unknown
babys r us,1185,1,unknown
how to write an obituary,805,1,unknown
harley davidson salvage parts,1931,1,unknown
how accessorize bold print dress,424,1,unknown
chiropodist in my area,339,1,unknown
what is a june bug,394,1,what
stages of pressure sores,952,1,what
toyota truck seats,353,1,unknown
what is the purpose of technology,930,1,what
what does factor mean,578,1,what
how to grade diamonds,339,1,unknown
aline barros e cia homenzinho torto,272,1,unknown
what causes rectum bleeding,562,1,what
little caesars pizza locations in texas,427,1,what
what is in vinegar,266,1,what
how to write an exemplification essay,335,1,unknown
how many cups is a gallon,1600,1,unknown
where does mick jagger live,547,1,unknown
what is silver worth,1535,1,what
what is icloud,1015,1,what
where find business casual clothing men,384,1,unknown
pictures of yard waterfalls,266,1,what
what is apps,465,1,what
how to solve number patterns,520,1,unknown
how to record tv programs,394,1,unknown
what is neutrophils absolute,297,1,what
how long do boils last,1122,1,unknown
what is the inflation rate,423,1,what
what causes lung scarring,1075,1,what
baked fresh ham recipe,338,1,unknown
pictures of short haircuts 2013,1792,1,what
pnc bank routing number,441,1,unknown
electric fuel pump testing,371,1,unknown
who won the persian war,256,1,who
wwii navy ships,317,1,unknown
pictures of winged termites,324,1,what
what causes nitrates in urine,419,1,what
how to sell on craigslist shtml,290,1,unknown
what is defamation of character,488,1,what
pictures of hiv rash,8344,1,what
how to write an essay?,508,1,unknown
how much is a gold rolex,281,1,unknown
what is shortness of breath,540,1,what
how to replace a drive belt,291,1,unknown
elvis presley dvds,392,1,unknown
how to clean corian countertops,405,1,unknown
what is overt behavior,2338,1,what
what does apr mean,321,1,what
what does a kangaroo look like,766,1,what
clean silver using aluminum foil,304,1,what
where does fluoride come from,333,1,unknown
what is empirical research,796,1,what
what is a dongle,1153,1,what
england pottery,757,1,what
what is halley comet made of,510,1,what
what is buspar 15mg,309,1,what
purple place,1018,1,what
what does cohesive mean,463,1,what
what attracts flying ants,339,1,what
how to make refried beans,478,1,unknown
how do you prepare rhubarb,277,1,unknown
what is ptsd symptoms,536,1,what
where does a koala live,255,1,unknown
what is chol hdl ratio,255,1,what
e gunparts,717,1,unknown
where to refill co2 tank,1516,1,unknown
what happened in court today,477,1,what
what is a sociopathic person,636,1,what
how to concrete,296,1,unknown
what is reflexology,323,1,what
dark shadows cast,281,1,unknown
how to make a title page,544,1,unknown
what are some informative speech topics,319,1,what
what does a miscarriage look like,1478,1,what
how much do alpacas cost,385,1,unknown
what is a pulmonary nodule,936,1,what
too short songs,296,1,what
oatmeal recipes for breakfast,308,1,what
what is copper used for?,253,1,what
what causes transmission fluid to leak,575,1,what
who is the father of geometry,1699,1,who
how do you remove ear wax,564,1,unknown
what is the highest iq score,481,1,what
ford truck towing capacities,2703,1,unknown
what is adjective,1211,1,what
how do i calculate business turnover,306,1,unknown
how much is my gun worth,1790,1,unknown
who makes falken tires,827,1,who
famous people with multiple sclerosis,1218,1,what
why are my arborvitaes turning brown,408,1,unknown
what happens when milk is pasteurized,520,1,when
how long do rabbits stay pregnant,953,1,unknown
ebt phone number,431,1,unknown
silver investing,248,1,unknown
pueblo community college,354,1,what
how to build a tiki hut,381,1,unknown
what do mallard ducks eat,454,1,what
how to install crown molding,427,1,unknown
how to asbestos removal,327,1,unknown
what is ms excel,339,1,what
what is an eagle nest called,947,1,what
how are batteries made,460,1,unknown
asthma attack,289,1,unknown
are shotty lymph nodes normal,685,1,what
how to pass kidney stones,2155,1,unknown
what is lye,274,1,what
how to make rice krispies,445,1,unknown
how do you make bbq sauce,423,1,unknown
fried pies,298,1,unknown
what causes heartburn,644,1,what
achados e perdidos,949,1,unknown
what does the gallbladder do,462,1,what
what is brain aneurysm,1803,1,what
what weighs a kilogram,320,1,what
price old records,3467,1,affirmation
how tall is tamra barney?,328,1,unknown
what is a natural diuretic,595,1,what
myspace  com,766,1,unknown
what is zinc used for,311,1,what
how to make swag curtains,515,1,unknown
what is a conservative,269,1,what
how to huff hairspray,286,1,unknown
how many calories in a kiwi,284,1,unknown
what coins are worth money,314,1,what
what is angioprim,262,1,what
ethel kennedy,334,1,what
what is giardia,368,1,what
how to make italian salami html,1180,1,unknown
what is amnesty,283,1,what
what does political mean,343,1,what
what is itube,849,1,what
how to contact paula deen,1788,1,unknown
how to clean wood,991,1,unknown
where to buy haggis,249,1,unknown
tennis on tv today,2562,1,what
does ralph carter have aids,651,1,affirmation
old coca cola bottles worth,1908,1,what
autism research,507,1,unknown
what is a 501c3,792,1,what
where is the liver located,390,1,unknown
why are values important,793,1,unknown
incredible hulk birthday cake,264,1,what
what is a grant deed,248,1,what
who invented acrylic nails,412,1,who
similac formula coupons,713,1,unknown
taylor swifts number,860,1,unknown
how old is snoop dog,833,1,unknown
battle of little big horn map,374,1,what
where to buy chia seed,271,1,unknown
how does a slingbox work,479,1,unknown
what is the most reactive nonmetal,284,1,what
italian glassware,535,1,unknown
who will take old encyclopedias,508,1,who
what is a good sympathy saying,348,1,what
how to make rice paper,1087,1,unknown
what is a promo code,1710,1,what
mercedes c320 html,2415,1,unknown
tv caracol en vivo gratis,349,1,what
who is affected by poverty,397,1,who
why is liberty important,344,1,unknown
area code lookup 503,263,1,unknown
where is bahrain located,314,1,unknown
what is a desert,257,1,what
what font does twitter use,1021,1,what
how does meningitis spread,273,1,unknown
six women,474,1,what
entrar hot mail caixa de entrada,640,1,what
what does unicellular mean,413,1,what
how to start a booster club,1621,1,unknown
how long does mail take,6522,1,unknown
what were the crusades,288,1,what
heinz baked bean recipes html,428,1,unknown
doces finos e bem casados,286,1,unknown
how old is raini rodriguez,261,1,unknown
how do you clean leather sofas,345,1,unknown
what is a ceremonial speech,385,1,what
how do kangaroos mate,471,1,unknown
what is liver pain,1019,1,what
amtrak train ticket price,1358,1,unknown
picture me portrait studios,1104,1,what
how to use a french curve,278,1,unknown
what is cross contamination,320,1,what
why the sky is blue,887,1,unknown
where is the holy land located,480,1,unknown
where is british columbia located,316,1,unknown
roast turkey breast recipe,904,1,unknown
texas eviction process,833,1,what
where is the vin number,740,1,unknown
poems for parents to be,470,1,affirmation
what is a consonant digraph,260,1,what
how to make your boyfriend laugh,380,1,unknown
how to plant sweet peas,254,1,unknown
free vin number search,9706,1,unknown
how do you treat ringworm,409,1,unknown
who makes the best ar15,395,1,who
en vivo tv televisa,1607,1,what
how to write a narrative statement,448,1,unknown
why is social security important,337,1,unknown
how big is a cubic foot,2718,1,unknown
how do cashew nuts grow,276,1,unknown
what is a circuit,735,1,what
benefiber coupons,317,1,unknown
how to shrink hemorrhoids,600,1,unknown
what is a hash tag,695,1,what
what causes sciatic nerve pain?,528,1,what
what causes kidney cancer,652,1,what
basic oatmeal recipe html,662,1,unknown
how did pennsylvania get its name,333,1,unknown
what is the meaning of republic,636,1,what
what is a nonallopathic lesion,513,1,what
what is informal communication,488,1,what
famous athletes,3849,1,unknown
what causes convection currents,1400,1,what
how to install sprinklers,387,1,unknown
what do canadians wear,982,1,what
why was ann curry fired,302,1,unknown
where is area code 613,910,1,unknown
where to buy pebbles,280,1,unknown
ignition switch,1593,1,unknown
iurd tv assistir ao vivo,714,1,what
is michelle stafford married,1138,1,what
what causes eyes to water,454,1,what
tv en vivo azteca deportes,257,1,what
how to clean laminate wood flooring,403,1,unknown
brunswick stew recipes,774,1,unknown
lowest price yokohama tires,436,1,what
how did france get its name,456,1,unknown
how to plant watermelons,545,1,unknown
macaroni grill coupons,826,1,unknown
r values for insulation,877,1,what
what is plant respiration,575,1,what
serial number generator,2172,1,unknown
ademco alarm user guide,335,1,unknown
how to cook canned salmon html,329,1,unknown
types of ants pictures,3569,1,what
how to care for bonsai trees,310,1,unknown
what is a good cholesterol level,644,1,what
dmv appointment number,455,1,unknown
where are your lymph nodes,821,1,unknown
who is the us representative,1074,1,who
what is simile,443,1,what
vegetables high in vitamin k,437,1,unknown
how do flamingos protect themselves,466,1,unknown
jornal hoje na globo,335,1,unknown
name all the root vegetables,959,1,unknown
straight talk 1800 number,1393,1,unknown
what does data mean,276,1,what
what are heel spurs,821,1,what
what is geologic time scale,406,1,when
how many weeks pregnant,697,1,unknown
lufthansa airlines phone number,408,1,unknown
mary shelley,293,1,unknown
how prune peonies,494,1,unknown
what does back labor feel like,250,1,what
franklin county ohio obituaries,279,1,unknown
what causes anemia in men,605,1,what
how tall is jaden smith now,316,1,unknown
how to copyright song lyrics,887,1,unknown
what does a crankshaft do,290,1,what
what is a 7 sided polygon,561,1,what
pollo campero menu,583,1,unknown
how to color concrete,770,1,unknown
what is morton s neuroma,806,1,what
where is kidney pain,867,1,unknown
how many states in the us,375,1,unknown
postal zip codes by address,829,1,what
make a data table,307,1,unknown
examples of class agnatha,312,1,what
what is the address,809,1,what
what is interstitial lung disease,673,1,what
how to make owl boxes,437,1,unknown
what is blood sugar,271,1,what
jp ask com,663,1,unknown
what is organizational change,1972,1,what
how to heat sauerkraut,941,1,unknown
what is uterine prolapse,474,1,what
how does soil effect plant growth,300,1,unknown
bucara tv en vivo,305,1,what
what is chile famous for,535,1,what
survivor women,522,1,unknown
daytona beach florida,1039,1,unknown
is stuart mclean married,618,1,what
when did racism start,1705,1,when
what is a card reader,688,1,what
old home remedies for earache,280,1,what
how apply social security benefits,610,1,unknown
colognes that turn women on,1237,1,unknown
what is a hygrometer,326,1,what
what are the articles of confederation,266,1,what
chama gaucha coupons,548,1,unknown
brunswick crank phonograph,284,1,unknown
who invented the easter bunny,370,1,who
college baseball standings,369,1,what
how much does chrome plating cost,502,1,unknown
what is a variable annuity,567,1,what
what color goes with red,479,1,what
how do you subtract fractions,821,1,unknown
does walmart have western union,579,1,affirmation
how did maryland get its name,1147,1,unknown
tv univision en vivo gratis,53438,1,what
flea markets in nj,439,1,unknown
what causes skin tags?,298,1,what
www pogo tv,925,1,what
what is vocational education,329,1,what
what does therapeutic mean,538,1,what
cosmetology quiz,311,1,unknown
when do you plant tulips,332,1,when
what is eggshell paint,407,1,what
what is prose,264,1,what
programa panico na tv ao vivo,1001,1,what
spyder motorcycle price,645,1,what
bumper,607,1,unknown
where are metamorphic rocks found,849,1,unknown
how to make hibachi chicken html,292,1,unknown
what is ramadan,265,1,what
how many children,786,1,unknown
how long to bake chicken thighs,416,1,unknown
how did james gandolfini die,273,1,unknown
how to cook zucchini squash,334,1,unknown
where is the thyroid,395,1,unknown
lump in upper arm,1016,1,unknown
how to make breaded chicken html,273,1,unknown
what is essay,450,1,what
why should we protect the environment,729,1,unknown
1847 rogers bros silver nickel,539,1,unknown
what is gentian violet,541,1,what
assisti tv gratis,406,1,what
what is sale or return basis,268,1,what
song lyrics printer friendly,271,1,what
is savannah guthrie married,329,1,what
how to check a cdi box,1604,1,unknown
where are hyundai cars made,395,1,unknown
tv globo rj,826,1,what
how to get rid of mold,1867,1,unknown
how are volcanic mountains formed,1149,1,unknown
what does liberal mean,1530,1,what
what does llc mean,745,1,what
what is sarcoma cancer,4313,1,what
how to measure a bike,649,1,unknown
how did the industrial revolution start,347,1,unknown
where did line dancing originate from,274,1,unknown
area code 540,389,1,unknown
how many pages is 3000 words,1731,1,unknown
montgomery county texas,615,1,what
how does a catapult work,403,1,unknown
how to kill mosquitoes,273,1,unknown
what is your name?,249,1,what
what is a pollutant,1071,1,what
how do i make saline solution,2072,1,unknown
what does virtue mean,520,1,what
torrent 3 1 3,344,1,unknown
what eats an eagle,1301,1,what
higiene e saude,298,1,unknown
pictures of scalp eczema,1340,1,what
care of orange trees,428,1,what
how old is kendrick lamar,367,1,unknown
what do carpet mites look like,496,1,what
mercedes s600 v12,429,1,unknown
what is red oxide primer,279,1,what
what date did michael jackson die,537,1,what
what is alum powder,491,1,what
how to build a crab trap,300,1,unknown
a guitar chord chart,2934,1,unknown
what are linking verbs,339,1,what
what is flax seed,2172,1,what
how to make fudge,816,1,unknown
why do people crave vinegar,766,1,unknown
celebrities who died in 2012,5774,1,who
what is emotional development?,301,1,what
why is bibliography important,421,1,unknown
area code 720,328,1,unknown
shedd aquarium coupons,248,1,unknown
how to demagnetize metal,535,1,unknown
how fast does gasoline evaporate,302,1,unknown
what are kentucky natural resources,668,1,what
what to serve with pork roast,474,1,what
how to set up e mail,732,1,unknown
what time does costco close,1083,1,when
birthday memorial verses,352,1,unknown
where do green eyes come from,371,1,unknown
house plans that look like barns,356,1,what
how do bees make honeycombs,792,1,unknown
what is a white dwarf star,322,1,what
how long to cook cornish hens,1814,1,unknown
what are the sources of energy,483,1,what
tooth number diagram,2047,1,unknown
pictures of labradoodles,275,1,what
sks 30 round magazine,3051,1,unknown
what is a carcinoma,323,1,what
how tall was napoleon bonaparte,562,1,unknown
what is watson 349,465,1,what
what is gluten free diet,1261,1,what
what is stenosis of the neck,1879,1,what
what are muscles,345,1,what
where to buy zoya polish,746,1,unknown
what is distilled water,943,1,what
how to figure square feet,2598,1,unknown
what is economic diversity,383,1,what
jorge e mateus musica nova,1005,1,unknown
does melanoma itch,288,1,affirmation
ouvir musicas gratis e baixar,500,1,unknown
resume samples high school,381,1,unknown
what caused the battle of saratoga,266,1,what
eri tv live,2038,1,what
how does cellular respiration work,315,1,unknown
apple applications what s app,410,1,what
what is a sim card,9707,1,what
serial number engine,1047,1,unknown
what do monkeys eat,2558,1,what
what is dopamine used for,272,1,what
what did theodore roosevelt do,568,1,what
boot camp for girls,385,1,what
what does oem stand for,2529,1,what
how to make maroon,758,1,unknown
what is a colon cancer,507,1,what
what is a watt,364,1,what
mary maxim catalogue,2848,1,unknown
area code 410,376,1,unknown
where is potassium nitrate found,320,1,unknown
who wrote the pledge of allegiance,336,1,who
microsoft number for xbox,3439,1,what
mickey mouse party supplies,360,1,unknown
how long to cook chicken,372,1,unknown
king ranch catalog,367,1,what
who is david baldacci,621,1,who
what does mantra mean,598,1,what
how much money does disney make,431,1,unknown
mapas e rotas rj,877,1,unknown
why do people stereotype,353,1,unknown
convert 1 liters to cups,1194,1,who
picture of muskrats,262,1,what
what is the best protein powder,738,1,what
what is an environment,719,1,what
what do starfish look like,278,1,what
what is the cause of diabetes,2187,1,what
what is a browser,3953,1,what
how to report,944,1,unknown
how to remove asbestos,426,1,unknown
coupons busch gardens,300,1,unknown
puppies perth for sale,317,1,what
driving directions in seattle  wa,287,1,unknown
what is geothermal energy,643,1,what
what is personal hygiene?,322,1,what
where are penguins found,450,1,unknown
what is social order,529,1,what
what is normal blood sugar reading,907,1,what
how does bacteria grow,614,1,unknown
how many country in world,439,1,unknown
what are hives caused from,311,1,what
what is a plane in geometry,248,1,what
hood county texas map,269,1,what
how to introduce a guest speaker,376,1,unknown
truck troubleshooting,527,1,unknown
how much do flight attendants make,1584,1,unknown
what is considered a fever,10945,1,what
what is a mobile hotspot,1290,1,what
what is the strongest antibiotic,565,1,what
how dress wake,1466,1,unknown
fox tv,4471,1,what
chat rooms free,532,1,unknown
what causes c diff,427,1,what
what is contempt of court,415,1,what
when does fishing season start,2001,1,when
what does frogs eat,277,1,what
how did rocky dennis die,1015,1,unknown
which jedi used a purple lightsaber,33031,1,unknown
download need for speed carbon,346,1,what
what is hipaa compliance,517,1,what
how do fish reproduce,1000,1,unknown
address to mail federal taxes,316,1,unknown
how to roast nuts,382,1,unknown
fafsa toll free number,446,1,unknown
how to repair ge dryer,389,1,unknown
phone number for airtran airways,398,1,unknown
how to write a skit,333,1,unknown
what is leprosy,582,1,what
huntington bank in michigan,405,1,what
how do you renew a passport,307,1,unknown
tv azteca en vivo futbol,2222,1,what
